Sample_number,Year,Hypothetical_bird_count,Expected_lambda
1,2011,6,6.931
1,2010,7,7.16
1,2002,7,9.281
1,2006,7,8.152
1,2008,6,7.64
1,2012,4,6.71
1,2000,14,9.904
1,2005,6,8.421
1,2007,7,7.892
1,2004,10,8.698
1,1999,8,10.23
1,2001,12,9.587
1,2009,4,7.396
2,2011,6,6.931
2,2010,12,7.16
2,2002,7,9.281
2,2006,10,8.152
2,2008,5,7.64
2,2012,6,6.71
2,2000,11,9.904
2,2005,4,8.421
2,2007,7,7.892
2,2004,9,8.698
2,1999,11,10.23
2,2001,10,9.587
2,2009,2,7.396
3,2011,7,6.931
3,2010,8,7.16
3,2002,11,9.281
3,2006,8,8.152
3,2008,12,7.64
3,2012,10,6.71
3,2000,14,9.904
3,2005,5,8.421
3,2007,7,7.892
3,2004,10,8.698
3,1999,5,10.23
3,2001,13,9.587
3,2009,5,7.396
